Boro,Apartment,Story,Class,OrderNumber,CurrentStatus
BROOKLYN,4A,4,B,508,VIOLATION CLOSED
QUEENS,KK,-1,B,702,VIOLATION CLOSED
BRONX,G,1,A,501,VIOLATION CLOSED
BROOKLYN,3R,3,C,617,VIOLATION CLOSED
BRONX,3F,3,B,1503,VIOLATION CLOSED
BRONX,,966,B,802,NOV CERTIFIED LATE
BRONX,,-999,B,502,VIOLATION DISMISSED
BRONX,1K,1,B,501,VIOLATION CLOSED
BROOKLYN,1FL,1,B,801,VIOLATION CLOSED
QUEENS,4A,,B,501,VIOLATION REOPEN
BRONX,3F,3,B,702,VIOLATION CLOSED
BROOKLYN,3,3,B,576,VIOLATION CLOSED
MANHATTAN,4C,4,B,501,VIOLATION CLOSED
BRONX,,-2,C,672,VIOLATION CLOSED
MANHATTAN,4A,3,B,1503,VIOLATION CLOSED
BROOKLYN,5E,5,B,506,NOV SENT OUT
QUEENS,2D,2,A,556,VIOLATION CLOSED
BRONX,6F,6,B,508,VIOLATION CLOSED
BROOKLYN,5C,5,B,702,VIOLATION CLOSED
BRONX,G,1,B,569,VIOLATION CLOSED
BROOKLYN,3L,3,C,666,VIOLATION CLOSED
MANHATTAN,,1,A,484,VIOLATION WILL BE REINSPECTED
BRONX,1E,1,B,508,VIOLATION CLOSED
QUEENS,1A,1,B,583,VIOLATION CLOSED
BROOKLYN,D10,4,B,502,VIOLATION CLOSED
MANHATTAN,11P,11,B,501,FIRST NO ACCESS TO RE- INSPECT VIOLATION
MANHATTAN,1A,1,B,566,NOV CERTIFIED LATE
BROOKLYN,7,2,B,508,VIOLATION CLOSED
BRONX,2C,2,B,598,VIOLATION CLOSED
BROOKLYN,2L,1,B,521,VIOLATION CLOSED
BROOKLYN,,-2,C,672,VIOLATION CLOSED
QUEENS,4T,4,B,579,VIOLATION CLOSED
BROOKLYN,3L,3,B,508,NOV CERTIFIED LATE
QUEENS,8D,8,B,550,FIRST NO ACCESS TO RE- INSPECT VIOLATION
MANHATTAN,5B,5,C,616,VIOLATION CLOSED
BROOKLYN,2L,2,B,598,VIOLATION CLOSED
BRONX,,999,B,506,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BROOKLYN,,6,B,507,NOT COMPLIED WITH
MANHATTAN,,-999,B,502,NOT COMPLIED WITH
MANHATTAN,15,3,C,508,VIOLATION CLOSED
BRONX,,1,C,502,VIOLATION CLOSED
BRONX,3H,3,B,501,FALSE CERTIFICATION
BRONX,1G,1,B,689,VIOLATION CLOSED
BROOKLYN,4E,4,B,702,VIOLATION CLOSED
BROOKLYN,4B,4,B,521,FIRST NO ACCESS TO RE- INSPECT VIOLATION
MANHATTAN,23,2,C,617,VIOLATION CLOSED
MANHATTAN,,6,C,507,VIOLATION CLOSED
BROOKLYN,A4,1,C,505,VIOLATION CLOSED
BRONX,15,3,B,505,VIOLATION CLOSED
BRONX,15,3,B,502,VIOLATION CLOSED
BRONX,1K,1,B,583,NOT COMPLIED WITH
BROOKLYN,4B,4,B,501,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BRONX,BSMT,-1,C,616,VIOLATION CLOSED
BROOKLYN,3L,3,B,569,NOV CERTIFIED LATE
MANHATTAN,42,4,B,508,VIOLATION CLOSED
BROOKLYN,6F,6,B,502,VIOLATION CLOSED
STATEN ISLAND,6L,3,A,529,VIOLATION CLOSED
MANHATTAN,4B,4,B,508,NOV SENT OUT
BRONX,,1,B,501,VIOLATION CLOSED
BRONX,5B,5,B,509,VIOLATION CLOSED
BROOKLYN,5C,5,B,550,VIOLATION CLOSED
BRONX,,10,B,502,VIOLATION CLOSED
MANHATTAN,47,4,B,501,NOT COMPLIED WITH
BROOKLYN,2R,2,B,869,VIOLATION CLOSED
BROOKLYN,2R,2,C,567,VIOLATION CLOSED
MANHATTAN,12A,12,B,702,VIOLATION CLOSED
BROOKLYN,6B,2,B,508,INVALID CERTIFICATION
BROOKLYN,8,3,B,501,NOT COMPLIED WITH
BROOKLYN,C203,2,A,556,VIOLATION CLOSED
BRONX,1C,2,B,550,VIOLATION CLOSED
BRONX,2,1,C,670,NOV SENT OUT
BROOKLYN,1R,1,A,501,VIOLATION CLOSED
QUEENS,308,3,A,556,VIOLATION CLOSED
BRONX,4G,4,B,570,VIOLATION CLOSED
MANHATTAN,2G,2,B,530,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BROOKLYN,2FL,2,A,856,NOV SENT OUT
BROOKLYN,,3,B,538,NOV SENT OUT
MANHATTAN,135,3,B,508,NOV SENT OUT
BRONX,4G,4,C,617,VIOLATION CLOSED
BROOKLYN,2R,2,B,568,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BRONX,3B,3,C,583,VIOLATION CLOSED
BROOKLYN,4H,4,B,550,VIOLATION CLOSED
QUEENS,4R,4,B,550,VIOLATION CLOSED
BRONX,5I,5,C,508,VIOLATION CLOSED
MANHATTAN,,0,B,686,VIOLATION DISMISSED
BRONX,4B,4,B,501,VIOLATION DISMISSED
MANHATTAN,3K,4,B,501,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BROOKLYN,2R,2,B,579,FIRST NO ACCESS TO RE- INSPECT VIOLATION
MANHATTAN,3,,B,530,VIOLATION DISMISSED
QUEENS,2R,2,B,569,VIOLATION CLOSED
BROOKLYN,6B,2,C,508,VIOLATION CLOSED
MANHATTAN,,-1,C,672,VIOLATION CLOSED
BROOKLYN,,-2,C,051,VIOLATION CLOSED
BRONX,2A,2,C,616,VIOLATION CLOSED
BRONX,5I,5,A,554,VIOLATION CLOSED
BROOKLYN,2L,2,B,501,VIOLATION CLOSED
BRONX,,,B,509,VIOLATION CLOSED
BROOKLYN,4R,4,C,507,VIOLATION CLOSED
QUEENS,3R,3,C,790,VIOLATION CLOSED
BROOKLYN,2F,2,C,501,VIOLATION CLOSED
BROOKLYN,1R,1,B,566,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BROOKLYN,5A,5,B,502,VIOLATION CLOSED
MANHATTAN,6F,6,B,501,VIOLATION CLOSED
BRONX,A2,1,B,530,VIOLATION CLOSED
BRONX,2I,2,B,502,VIOLATION CLOSED
MANHATTAN,41A,4,B,550,VIOLATION CLOSED
BRONX,5D,5,B,502,VIOLATION CLOSED
BROOKLYN,,-2,B,530,VIOLATION CLOSED
BRONX,5,3,B,1503,VIOLATION CLOSED
MANHATTAN,52,5,B,508,VIOLATION CLOSED
BRONX,1A,2,B,569,NOV SENT OUT
BROOKLYN,4C,4,A,692,FIRST NO ACCESS TO RE- INSPECT VIOLATION
MANHATTAN,2B,2,C,616,VIOLATION CLOSED
BRONX,R41,4,B,579,VIOLATION CLOSED
QUEENS,,966,B,852,VIOLATION DISMISSED
BRONX,4D,4,C,583,VIOLATION CLOSED
BRONX,5,3,B,702,VIOLATION CLOSED
BROOKLYN,2FL,2,B,808,VIOLATION CLOSED
BROOKLYN,1 FL.,1,B,802,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BRONX,REAR,1,B,502,INVALID CERTIFICATION
BRONX,,1,C,689,VIOLATION CLOSED
BROOKLYN,3K,3,A,556,VIOLATION CLOSED
BRONX,1C,,A,556,VIOLATION CLOSED
QUEENS,,-2,B,505,VIOLATION CLOSED
BRONX,4A,4,B,583,VIOLATION CLOSED
BRONX,3,1,B,502,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BROOKLYN,D5,4,A,556,VIOLATION CLOSED
BRONX,,-999,B,510,VIOLATION CLOSED
BRONX,3E,3,A,556,INVALID CERTIFICATION
BRONX,1C,1,A,556,NOT COMPLIED WITH
BRONX,Z1,1,B,502,VIOLATION CLOSED
MANHATTAN,5B,5,B,502,VIOLATION CLOSED
BROOKLYN,D1,4,B,569,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BROOKLYN,A9,1,B,502,VIOLATION CLOSED
BRONX,2K,2,C,617,NOV SENT OUT
BROOKLYN,E3,5,B,583,VIOLATION CLOSED
BRONX,5F,5,B,579,VIOLATION DISMISSED
MANHATTAN,2J,2,B,502,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BROOKLYN,2FLR,2,B,879,NOV SENT OUT
STATEN ISLAND,BASE,-1,B,809,VIOLATION CLOSED
BROOKLYN,2F,2,A,529,NOV SENT OUT
MANHATTAN,7L,7,B,508,NOV SENT OUT
BRONX,3D,4,A,556,VIOLATION DISMISSED
BRONX,,3,B,502,VIOLATION DISMISSED
BROOKLYN,2R,2,B,501,NOT COMPLIED WITH
BROOKLYN,3B,3,B,702,VIOLATION CLOSED
BROOKLYN,C1,3,B,570,VIOLATION CLOSED
BRONX,,-999,B,1061,NOV SENT OUT
BRONX,4E,4,B,501,VIOLATION DISMISSED
BRONX,20E,20,B,566,NOT COMPLIED WITH
MANHATTAN,11,4,B,508,VIOLATION CLOSED
BROOKLYN,C6,3,B,568,VIOLATION CLOSED
QUEENS,4R,4,B,1502,VIOLATION CLOSED
BROOKLYN,2FL,,B,896,VIOLATION CLOSED
STATEN ISLAND,2A,2,B,868,NOV CERTIFIED LATE
BRONX,3A,3,B,508,NOV SENT OUT
BRONX,,0,B,686,NOV SENT OUT
BRONX,2G,2,C,526,VIOLATION CLOSED
BROOKLYN,1F,1,B,502,VIOLATION CLOSED
BRONX,6J,6,B,508,NOV SENT OUT
BROOKLYN,4R,4,B,1502,NOV SENT OUT
BRONX,,1,A,778,VIOLATION CLOSED
BROOKLYN,2R,2,C,583,VIOLATION CLOSED
BROOKLYN,A12,1,B,583,VIOLATION CLOSED
MANHATTAN,19,5,B,583,VIOLATION CLOSED
BROOKLYN,B8,2,A,594,VIOLATION CLOSED
MANHATTAN,1D,1,C,688,VIOLATION CLOSED
MANHATTAN,11P,11,B,501,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BRONX,2A,2,B,702,VIOLATION CLOSED
STATEN ISLAND,1,1,B,808,NOV SENT OUT
BROOKLYN,,966,C,791,VIOLATION CLOSED
MANHATTAN,23,2,C,617,VIOLATION CLOSED
MANHATTAN,5B,5,A,556,VIOLATION CLOSED
BRONX,10,2,C,550,VIOLATION CLOSED
BROOKLYN,C203,2,B,702,VIOLATION CLOSED
BRONX,2C,2,B,583,VIOLATION CLOSED
BRONX,C5,3,B,566,VIOLATION CLOSED
BRONX,36,3,A,502,INVALID CERTIFICATION
MANHATTAN,,4,A,529,VIOLATION CLOSED
QUEENS,5A,5,C,510,NOV SENT OUT
BROOKLYN,2L,2,B,569,NOT COMPLIED WITH
BRONX,5G,6,B,501,VIOLATION CLOSED
BRONX,2D,4,B,702,VIOLATION CLOSED
BRONX,4E,5,C,616,VIOLATION CLOSED
QUEENS,3B,3,B,521,VIOLATION CLOSED
BROOKLYN,C4,3,A,508,NOT COMPLIED WITH
BROOKLYN,D6,4,A,509,VIOLATION CLOSED
BRONX,5F,5,A,556,VIOLATION DISMISSED
BROOKLYN,3B,,B,508,VIOLATION CLOSED
BROOKLYN,5C,5,B,508,VIOLATION CLOSED
BROOKLYN,2L,2,A,506,VIOLATION CLOSED
BROOKLYN,6C,6,B,508,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BROOKLYN,B9,2,B,501,VIOLATION CLOSED
BROOKLYN,3D,4,C,742,VIOLATION CLOSED
BRONX,5D,5,A,556,VIOLATION CLOSED
MANHATTAN,23,2,A,556,VIOLATION CLOSED
MANHATTAN,,-1,B,505,VIOLATION CLOSED
BROOKLYN,2A,2,B,566,VIOLATION DISMISSED
BRONX,5B,5,B,583,NOV SENT OUT
BRONX,,5,B,506,VIOLATION DISMISSED
BRONX,,7,B,505,VIOLATION CLOSED
BROOKLYN,2,1,A,879,VIOLATION CLOSED
BRONX,8,2,C,508,FIRST NO ACCESS TO RE- INSPECT VIOLATION
MANHATTAN,34,,A,491,VIOLATION CLOSED
MANHATTAN,3E,3,C,616,VIOLATION CLOSED
BROOKLYN,2E,2,B,593,VIOLATION CLOSED
BRONX,1M,1,B,583,VIOLATION DISMISSED
BRONX,D,1,B,1503,VIOLATION CLOSED
MANHATTAN,4A,,A,556,FIRST NO ACCESS TO RE- INSPECT VIOLATION
MANHATTAN,7L,7,B,579,NOV SENT OUT
BRONX,5B,2,B,1503,NOV CERTIFIED LATE
BRONX,1B,1,B,550,VIOLATION CLOSED
MANHATTAN,1,2,B,508,NOV SENT OUT
BRONX,5H,5,B,510,VIOLATION CLOSED
BROOKLYN,2L,2,C,616,VIOLATION CLOSED
BROOKLYN,A7,1,B,569,VIOLATION CLOSED
QUEENS,1F,1,B,689,VIOLATION CLOSED
MANHATTAN,1C,1,B,501,VIOLATION CLOSED
QUEENS,,3,B,507,NOV SENT OUT
BRONX,31,3,B,570,VIOLATION CLOSED
BRONX,31,3,C,790,VIOLATION CLOSED
QUEENS,,1,A,556,NOV SENT OUT
QUEENS,1F,1,B,509,NOV SENT OUT
BROOKLYN,1R,1,B,1502,NOV SENT OUT
BROOKLYN,C5,2,B,508,VIOLATION CLOSED
BROOKLYN,2FL,1,B,801,VIOLATION CLOSED
BROOKLYN,7D,4,B,502,NOV CERTIFIED LATE
MANHATTAN,,1,A,778,VIOLATION CLOSED
BROOKLYN,5F,5,B,506,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BROOKLYN,TOPFL,2,B,1502,VIOLATION CLOSED
QUEENS,2F,2,C,616,DEFECT LETTER ISSUED
BROOKLYN,D5,4,B,1502,VIOLATION CLOSED
MANHATTAN,2D,,C,555,VIOLATION CLOSED
MANHATTAN,4C,4,B,501,VIOLATION CLOSED
BROOKLYN,3L,3,A,556,VIOLATION CLOSED
MANHATTAN,15,3,B,508,VIOLATION CLOSED
MANHATTAN,,966,B,721,VIOLATION CLOSED
BRONX,5F,5,B,508,VIOLATION DISMISSED
BRONX,F,1,A,598,NOV SENT OUT
MANHATTAN,6D,6,C,616,VIOLATION CLOSED
BRONX,,5,C,526,VIOLATION CLOSED
BRONX,3F,3,B,569,VIOLATION CLOSED
QUEENS,308,3,A,554,VIOLATION CLOSED
BRONX,,0,A,552,VIOLATION CLOSED
BROOKLYN,2R,2,B,583,VIOLATION CLOSED
BROOKLYN,3L,3,B,508,NOV CERTIFIED LATE
BRONX,10G,10,A,550,VIOLATION CLOSED
BRONX,2A,2,A,554,VIOLATION CLOSED
BRONX,3E,5,A,554,VIOLATION DISMISSED
BRONX,4E,5,C,616,VIOLATION CLOSED
MANHATTAN,7L,7,B,508,NOV SENT OUT
BRONX,1D,,B,521,FIRST NO ACCESS TO RE- INSPECT VIOLATION
MANHATTAN,403,4,B,508,FIRST NO ACCESS TO RE- INSPECT VIOLATION
MANHATTAN,,1,B,502,NOV SENT OUT
BROOKLYN,5F,5,B,501,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BROOKLYN,18,,C,555,VIOLATION CLOSED
QUEENS,2M,2,B,579,NOT COMPLIED WITH
BRONX,1C,1,B,508,VIOLATION CLOSED
QUEENS,,Cellar,A,778,NOT COMPLIED WITH
BRONX,1E,1,C,790,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BRONX,9,1,C,790,VIOLATION CLOSED
MANHATTAN,5B,5,B,508,VIOLATION CLOSED
BRONX,3A,3,B,702,VIOLATION WILL BE REINSPECTED
BROOKLYN,1,1,B,949,VIOLATION CLOSED
BROOKLYN,B22,2,B,1502,FIRST NO ACCESS TO RE- INSPECT VIOLATION
MANHATTAN,,977,B,539,VIOLATION CLOSED
MANHATTAN,5W,5,C,790,VIOLATION WILL BE REINSPECTED
MANHATTAN,10E,3,B,649,VIOLATION CLOSED
BRONX,,966,A,553,NOT COMPLIED WITH
BROOKLYN,2A,2,B,569,VIOLATION DISMISSED
BROOKLYN,3D,4,B,1503,VIOLATION CLOSED
BRONX,1B,1,A,529,VIOLATION CLOSED
BRONX,P41,4,B,508,VIOLATION CLOSED
MANHATTAN,5C,5,B,508,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BROOKLYN,2FL,2,B,802,VIOLATION CLOSED
BRONX,5F,5,B,583,VIOLATION DISMISSED
BROOKLYN,4K,4,A,556,VIOLATION DISMISSED
BRONX,4G,4,C,583,VIOLATION CLOSED
BROOKLYN,5D,4,B,508,NOV SENT OUT
MANHATTAN,12A,5,B,569,VIOLATION CLOSED
STATEN ISLAND,,1,B,1041,NOV SENT OUT
BROOKLYN,B2,2,B,502,VIOLATION CLOSED
BROOKLYN,D1,4,A,501,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BROOKLYN,2,2,B,801,VIOLATION CLOSED
QUEENS,2,2,C,970,VIOLATION CLOSED
BRONX,3B,0,A,556,VIOLATION CLOSED
BRONX,2E,2,B,570,INVALID CERTIFICATION
BRONX,5B,2,A,556,FALSE CERTIFICATION
MANHATTAN,32,3,B,1503,VIOLATION CLOSED
BROOKLYN,E3,5,A,501,VIOLATION CLOSED
BROOKLYN,1F,1,C,617,VIOLATION CLOSED
BROOKLYN,10,4,A,491,VIOLATION DISMISSED
BROOKLYN,3D,4,B,742,VIOLATION CLOSED
MANHATTAN,,1,B,502,VIOLATION CLOSED
BRONX,B4,2,B,566,VIOLATION CLOSED
MANHATTAN,44,4,B,505,VIOLATION CLOSED
BROOKLYN,C5,2,A,554,VIOLATION CLOSED
BRONX,4F,4,A,508,VIOLATION DISMISSED
BROOKLYN,B2,1,A,529,VIOLATION DISMISSED
BRONX,3A,3,A,554,VIOLATION WILL BE REINSPECTED
BRONX,3E,3,B,508,VIOLATION CLOSED
BRONX,1G,1,B,568,VIOLATION CLOSED
BROOKLYN,C1,3,B,568,NOT COMPLIED WITH
BRONX,1R,1,C,689,VIOLATION CLOSED
MANHATTAN,5J,5,C,617,CERTIFICATION POSTPONMENT GRANTED
MANHATTAN,15,3,B,501,VIOLATION CLOSED
BROOKLYN,2,2,B,801,VIOLATION CLOSED
BROOKLYN,4R,4,C,508,VIOLATION CLOSED
BROOKLYN,3E,3,B,1502,VIOLATION CLOSED
BRONX,5B,5,B,506,VIOLATION CLOSED
BROOKLYN,D5,4,A,556,VIOLATION CLOSED
BRONX,1,1,C,970,VIOLATION CLOSED
BROOKLYN,1B,2,B,568,VIOLATION REOPEN
BROOKLYN,,2,B,509,VIOLATION CLOSED
BRONX,6E,6,C,616,VIOLATION CLOSED
MANHATTAN,41A,4,B,1502,NOV SENT OUT
BROOKLYN,F3,6,B,579,VIOLATION CLOSED
BROOKLYN,D5,4,A,556,VIOLATION CLOSED
BRONX,,977,B,539,VIOLATION CLOSED
BROOKLYN,1R,1,B,1502,VIOLATION CLOSED
BROOKLYN,8,3,C,742,VIOLATION CLOSED
MANHATTAN,16H,16,B,508,VIOLATION CLOSED
MANHATTAN,5C,5,B,702,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BRONX,36,3,B,508,INVALID CERTIFICATION
BROOKLYN,F2,6,C,617,VIOLATION CLOSED
BROOKLYN,2E,2,A,556,VIOLATION CLOSED
BRONX,3,1,B,502,FIRST NO ACCESS TO RE- INSPECT VIOLATION
MANHATTAN,,3,B,509,VIOLATION CLOSED
BRONX,8M,9,B,501,VIOLATION CLOSED
BROOKLYN,D5,4,A,554,VIOLATION CLOSED
BROOKLYN,A8,1,A,556,VIOLATION DISMISSED
BROOKLYN,2F,2,B,577,VIOLATION CLOSED
QUEENS,712,6,C,505,VIOLATION CLOSED
BRONX,4B,4,C,508,VIOLATION CLOSED
BRONX,,966,B,721,VIOLATION CLOSED
MANHATTAN,5W,5,B,508,VIOLATION CLOSED
BROOKLYN,16,4,B,593,VIOLATION CLOSED
MANHATTAN,46,4,A,556,VIOLATION CLOSED
BRONX,1C,1,B,508,VIOLATION CLOSED
BRONX,4C,4,B,550,VIOLATION CLOSED
MANHATTAN,APT53,5,C,790,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BRONX,2F,2,B,506,VIOLATION CLOSED
BRONX,4C,4,C,616,INVALID CERTIFICATION
BRONX,1A,1,B,569,VIOLATION CLOSED
BROOKLYN,2,2,B,598,VIOLATION CLOSED
BROOKLYN,1F,1,B,568,VIOLATION CLOSED
BRONX,18,4,A,556,VIOLATION CLOSED
BRONX,3D,3,B,502,NOT COMPLIED WITH
BROOKLYN,1F,1,B,1503,VIOLATION CLOSED
BRONX,3D,3,C,790,VIOLATION CLOSED
MANHATTAN,44,4,C,617,VIOLATION CLOSED
BROOKLYN,C1,3,B,550,VIOLATION CLOSED
BROOKLYN,C1,3,B,508,VIOLATION CLOSED
BRONX,4I,4,C,501,VIOLATION CLOSED
BROOKLYN,2R,2,B,502,VIOLATION CLOSED
BROOKLYN,,0,B,686,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BRONX,1C,3,B,569,VIOLATION CLOSED
BROOKLYN,1L,1,A,505,NOV SENT OUT
BRONX,16,4,B,521,VIOLATION CLOSED
BROOKLYN,2F,2,C,617,NOV SENT OUT
BRONX,6,3,B,568,NOV CERTIFIED LATE
MANHATTAN,41,4,C,790,VIOLATION CLOSED
BRONX,3B,3,B,508,NOV SENT OUT
MANHATTAN,,,B,502,VIOLATION CLOSED
BROOKLYN,,2,B,502,VIOLATION CLOSED
BRONX,5D,5,B,502,VIOLATION CLOSED
BROOKLYN,C1,3,B,505,NOT COMPLIED WITH
MANHATTAN,614,6,C,505,VIOLATION CLOSED
BRONX,2A,2,B,502,VIOLATION CLOSED
MANHATTAN,23,2,C,617,VIOLATION CLOSED
BROOKLYN,B22,2,B,501,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BRONX,5B,5,B,569,VIOLATION CLOSED
BROOKLYN,2RIGHT,2,A,508,VIOLATION CLOSED
MANHATTAN,6P,6,B,583,VIOLATION CLOSED
QUEENS,1G,1,B,702,VIOLATION CLOSED
MANHATTAN,,977,B,539,VIOLATION CLOSED
MANHATTAN,56,5,B,596,VIOLATION CLOSED
BROOKLYN,4H,4,B,508,VIOLATION CLOSED
BRONX,3B,3,C,508,VIOLATION WILL BE REINSPECTED
BRONX,,1,B,501,NOV SENT OUT
BROOKLYN,6B,2,B,502,INVALID CERTIFICATION
BROOKLYN,,0,B,501,VIOLATION CLOSED
BRONX,2A,2,A,583,VIOLATION CLOSED
MANHATTAN,4D,4,B,579,NOV SENT OUT
BROOKLYN,1,3,B,508,VIOLATION CLOSED
BRONX,,Fire Escape,B,506,VIOLATION WILL BE REINSPECTED
BRONX,1D,1,B,702,VIOLATION WILL BE REINSPECTED
QUEENS,1R,1,B,508,NOT COMPLIED WITH
BRONX,5D,5,B,502,VIOLATION CLOSED
BRONX,4B,4,A,501,VIOLATION CLOSED
BRONX,1M,1,B,550,VIOLATION DISMISSED
MANHATTAN,3F,3,B,501,VIOLATION CLOSED
BRONX,3,2,B,508,NOV SENT OUT
MANHATTAN,41,4,B,568,NOV CERTIFIED LATE
BRONX,,10,B,688,VIOLATION CLOSED
BRONX,,5,B,502,VIOLATION DISMISSED
BRONX,2A,2,B,521,VIOLATION CLOSED
BROOKLYN,4D,,B,566,VIOLATION CLOSED
BROOKLYN,6F,6,B,688,VIOLATION CLOSED
BROOKLYN,D2,4,C,616,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BRONX,2C,4,A,554,VIOLATION CLOSED
BRONX,1B,2,B,598,VIOLATION CLOSED
MANHATTAN,7L,7,B,508,NOV SENT OUT
BRONX,5A,5,A,501,VIOLATION CLOSED
BROOKLYN,2L,2,B,1502,VIOLATION CLOSED
QUEENS,5E,5,B,530,NOV SENT OUT
MANHATTAN,52,5,B,583,VIOLATION CLOSED
BRONX,3E,5,B,505,VIOLATION DISMISSED
BRONX,1K,1,A,556,VIOLATION CLOSED
MANHATTAN,4B,4,B,502,NOV SENT OUT
BRONX,2A,2,B,550,VIOLATION CLOSED
STATEN ISLAND,2FL,2,B,868,NOV SENT OUT
BRONX,4D,4,B,702,VIOLATION CLOSED
BRONX,1B,1,B,508,VIOLATION CLOSED
BROOKLYN,1C,1,B,1502,VIOLATION REOPEN
QUEENS,1F,1,B,583,VIOLATION CLOSED
BRONX,W14,-1,C,567,VIOLATION CLOSED
BROOKLYN,2FL,2,B,879,VIOLATION CLOSED
MANHATTAN,42,4,C,502,VIOLATION CLOSED
BRONX,1A,2,B,508,VIOLATION CLOSED
MANHATTAN,5J,,B,508,VIOLATION CLOSED
BROOKLYN,4G,4,B,550,VIOLATION CLOSED
BRONX,2E,2,C,616,VIOLATION CLOSED
BRONX,9B,1,B,501,VIOLATION CLOSED
BROOKLYN,,966,C,791,VIOLATION CLOSED
BRONX,10G,10,A,550,VIOLATION CLOSED
MANHATTAN,,4,B,502,VIOLATION CLOSED
BRONX,3F,3,B,568,VIOLATION CLOSED
BROOKLYN,,-999,C,505,VIOLATION CLOSED
BROOKLYN,1E,1,B,583,VIOLATION CLOSED
STATEN ISLAND,1,2,A,802,VIOLATION CLOSED
MANHATTAN,12F,12,B,508,VIOLATION CLOSED
MANHATTAN,3F2,3,A,556,VIOLATION CLOSED
BRONX,2C,2,B,508,NOT COMPLIED WITH
BROOKLYN,,1,A,573,VIOLATION REOPEN
MANHATTAN,41,4,B,508,NOT COMPLIED WITH
MANHATTAN,5A,5,B,508,VIOLATION CLOSED
BRONX,2A,2,B,510,VIOLATION CLOSED
MANHATTAN,5J,5,B,505,NOV CERTIFIED LATE
MANHATTAN,3L,3,B,550,VIOLATION CLOSED
MANHATTAN,46,4,C,617,VIOLATION WILL BE REINSPECTED
BRONX,,3,C,508,VIOLATION CLOSED
BROOKLYN,,-2,B,504,FIRST NO ACCESS TO RE- INSPECT VIOLATION
MANHATTAN,67,6,C,616,DEFECT LETTER ISSUED
BROOKLYN,1G,1,B,502,VIOLATION CLOSED
MANHATTAN,1A,1,B,689,VIOLATION CLOSED
BROOKLYN,,-2,C,658,NOT COMPLIED WITH
BRONX,Q34,3,B,501,NOV SENT OUT
QUEENS,3C,3,C,526,VIOLATION CLOSED
BRONX,2C,2,A,556,VIOLATION CLOSED
BROOKLYN,C5,2,A,556,VIOLATION CLOSED
BROOKLYN,1Y,1,B,702,VIOLATION DISMISSED
BRONX,3D,3,A,591,VIOLATION CLOSED
BRONX,2C,2,C,790,VIOLATION CLOSED
BRONX,1B,2,B,502,NOT COMPLIED WITH
QUEENS,2L,2,C,617,NOV SENT OUT
BRONX,2C,4,B,508,VIOLATION CLOSED
BROOKLYN,,-2,B,188,NOT COMPLIED WITH
BROOKLYN,2R,2,B,702,INVALID CERTIFICATION
MANHATTAN,24A,2,B,508,VIOLATION CLOSED
BRONX,,1,B,501,VIOLATION CLOSED
BROOKLYN,6G,6,B,501,VIOLATION CLOSED
MANHATTAN,4A,4,C,742,VIOLATION CLOSED
BROOKLYN,4B,4,B,508,FIRST NO ACCESS TO RE- INSPECT VIOLATION
QUEENS,2,2,B,501,VIOLATION CLOSED
QUEENS,4J,4,B,702,VIOLATION CLOSED
MANHATTAN,,1,C,502,VIOLATION CLOSED
MANHATTAN,3,1,C,790,VIOLATION CLOSED
BROOKLYN,1L,1,A,508,NOV SENT OUT
MANHATTAN,22,2,B,505,VIOLATION CLOSED
BRONX,18,4,B,1502,VIOLATION CLOSED
MANHATTAN,3L,3,B,583,VIOLATION CLOSED
MANHATTAN,135,3,B,702,NOV SENT OUT
BROOKLYN,D2,4,B,505,VIOLATION CLOSED
BROOKLYN,4B,,B,530,VIOLATION CLOSED
BROOKLYN,1F,1,B,569,VIOLATION DISMISSED
BRONX,3D,3,B,508,VIOLATION CLOSED
BRONX,F,1,A,508,NOV SENT OUT
QUEENS,1A,1,B,550,VIOLATION CLOSED
BRONX,2H,2,B,505,NOT COMPLIED WITH
BROOKLYN,4,3,B,508,VIOLATION CLOSED
BROOKLYN,2FL,2,B,649,VIOLATION DISMISSED
BRONX,,0,B,686,VIOLATION CLOSED
BROOKLYN,2A,2,B,501,FIRST NO ACCESS TO RE- INSPECT VIOLATION
